AF366381	Yersinia kristensenii
AF366380	Yersinia intermedia
DQ400782	Yersinia entomophaga
FJ717338	Yersinia nurmii
FR729477	Yersinia enterocolitica subsp. palearctica
AF366378	Yersinia enterocolitica subsp. enterocolitica
AJ233426	Rahnella aquatilis
KT387999	Serratia aquatilis
AJ233429	Serratia fonticola
M59155	Hafnia alvei
AJ233422	Obesumbacterium proteus
KJ739884	Serratia myotis
AJ233434	Serratia proteamaculans
AJ233435	Serratia quinivorans
AJ233430	Serratia grimesii
AJ306725	Serratia liquefaciens
MRWE01000064	Rouxiella badensis
MRWD01000109	Rouxiella silvae
KJ526379	Rouxiella chamberiensis
KJ023821	Hafnia psychrotolerans
KF308407	Rahnella bruchi
KF308409	Rahnella woolbedingensis
GQ148969	Rahnella variigena
KF308403	Rahnella victoriana
FM179943	Hafnia paralvei
AJ233433	Serratia plymuthica
GU394001	Serratia symbiotica
AF228001	Gallibacterium anatis
L06078	Gallibacterium salpingitidis
EU423985	Gallibacterium melopsittaci
EU339199	Gallibacterium trehalosifermentans
AY216869	Volucribacter amazonae
AY216868	Volucribacter psittacicida
HE797791	Seminibacterium arietis
AY362921	Avibacterium gallinarum
M75070	Avibacterium volantium
AY498868	Avibacterium paragallinarum
M75058	Avibacterium avium
AF024525	Actinobacillus succinogenes
AF549387	Histophilus somni
AY362907	Haemophilus haemoglobinophilus
AY362891	Actinobacillus indolicus
AY362909	Haemophilus parasuis
AY362886	Actinobacillus capsulatus
M75061	Haemophilus paracuniculus
AY362919	Pasteurella canis
M75052	Pasteurella oralis
AY362920	Pasteurella dagmatis
AY362925	Pasteurella stomatis
AF294412	Pasteurella multocida subsp. gallicida
AF294410	Pasteurella multocida subsp. multocida
AF294411	Pasteurella multocida subsp. septica
AF224292	Haemophilus felis
AY508816	Nicoletella semolina
HM439607	Mannheimia caviae
AF053893	Mannheimia varigena
AF053902	Mannheimia granulomatis
AF053889	Mannheimia glucosida
M75080	Mannheimia haemolytica
AF053900	Mannheimia ruminalis
FJ463881	Basfia succiniciproducens
KJ632968	Ursidibacter maritimus
KJ632969	Ursidibacter arcticus
JQ356598	Frederiksenia canicola
AY362927	Bibersteinia trehalosi
AY172727	Actinobacillus anseriformium
KF031240	Vespertiliibacter pulmonis
AY362893	Actinobacillus minor
M75076	Haemophilus paraphrohaemolyticus
AY362892	Actinobacillus lignieresii
M75074	Actinobacillus pleuropneumoniae
AY362900	Actinobacillus ureae
AF247716	Actinobacillus equuli subsp. haemolyticus
AF381186	Actinobacillus equuli subsp. equuli
AY362890	Actinobacillus hominis
AY362899	Actinobacillus suis
L06084	Actinobacillus arthritidis
AY362918	Pasteurella caballi
AY362917	Pasteurella bettyae
KR364783	Pasteurella caecimuris
M75083	Rodentibacter pneumotropicus
AY172726	Rodentibacter ratti
AF024529	Rodentibacter rarus
GU966652	Necropsobacter rosorum
KF875566	Cricetibacter osteomyelitidis
AY362894	Muribacter muris
AY362895	Actinobacillus rossii
AY362922	Pasteurella langaaensis
U65583	Actinobacillus porcinus
Y17189	Lonepinella koalarum
AJ243202	Pasteurella skyensis
X89379	Phocoenobacter uteri
M63900	Haemophilus ducreyi
AY362889	Actinobacillus delphinicola
Y09653	Actinobacillus scotiae
GU295084	Bisgaardia hudsonensis
KF871284	Bisgaardia miroungae
HM626613	Otariodibacter oris
M75039	Aggregatibacter actinomycetemcomitans
AY362906	Aggregatibacter aphrophilus
M75043	Aggregatibacter segnis
AY362897	Actinobacillus seminis
AY362923	Pasteurella mairii
U66491	Pasteurella aerogenes
KF875567	Mesocricetibacter intestinalis
AJ290755	Haemophilus pittmaniae
AY362905	Haemophilus aegyptius
M35019	Haemophilus influenzae
AY362908	Haemophilus parainfluenzae
JF506642	Haemophilus sputorum
EU331064	Chelonobacter oris
AY362926	Pasteurella testudinis
KJ632971	Testudinibacter aquarius
FJ612598	Orbus hercynius
JN561614	Orbus sasakiae
JX878306	Frischella perrara
JQ936674	Gilliamella apicola
AY837748	Thorsellia anophelis
KM269289	Thorsellia kandunguensis
KM269290	Thorsellia kenyensis
KU748636	Coetzeea brasiliensis
AY264674	Arsenophonus nasoniae
AJ560630	Photorhabdus luminescens subsp. kayaii
AJ007404	Photorhabdus luminescens subsp. laumondii
JQ424880	Photorhabdus luminescens subsp. noenieputensis
HM072284	Photorhabdus luminescens subsp. kleinii
LOIC01000041	Photorhabdus luminescens subsp. namnaonensis
EU930342	Photorhabdus luminescens subsp. hainanensis
AJ007359	Photorhabdus luminescens subsp. akhurstii
EU930345	Photorhabdus luminescens subsp. caribbeanensis
AJ560634	Photorhabdus temperata subsp. thracensis
AY280572	Photorhabdus asymbiotica subsp. australis
HQ142626	Photorhabdus heterorhabditis
EU136626	Photorhabdus temperata subsp. cinerea
AY278657	Photorhabdus temperata subsp. khanii
EF467859	Photorhabdus temperata subsp. stackebrandtii
AJ007405	Photorhabdus temperata subsp. temperata
EU930339	Photorhabdus temperata subsp. tasmaniensis
Z76755	Photorhabdus asymbiotica subsp. asymbiotica
X82248	Photorhabdus luminescens subsp. luminescens
